itemId,name,country,itemRating,category,description
1,Forbidden City-The Palace Museum,China,4.5,"Sights & Landmarks, Architectural Buildings, Museums, Specialty Museums, History Museums","Consisting of more than 9,000 rooms and spread over 250 acres, this huge palace complex was built in the 15th century and later extensively renovated and restored during the Qing Dynasty in the 18th century"
2,St. Peter's Basilica,Italy,5.0,"Sights & Landmarks, Historic Sites, Points of Interest & Landmarks, Churches & Cathedrals","Arguably one of the finest Cathedrals in the entire world, St. Peter's is the spiritual center of the Vatican and the product of many of Italy's great Renaissance's architects, among them Bramante, Raphael and Michelangelo."
3,Palace of Versailles,France,4.0,"Sights & Landmarks, Castles, Points of Interest & Landmarks, Architectural Buildings, Historic Sites","Palace, Trianon Palace, and the estate of Marie-Antoinette: open daily except Mondays and certain public holidays. Gardens and park: open daily."
4,Lincoln Memorial,United States,4.5,"Sights & Landmarks, Monuments & Statues",The Greek Doric-style memorial sits on the western end of the National Mall and has been the setting of many famous speeches throughout its history.
5,Colosseum,Italy,4.5,"Sights & Landmarks, Historic Sites, Ancient Ruins","The ancient Flavian Amphitheater was built by the Flavian emperors in 70 C.E. as a gift to the Roman people. As the largest Roman theater ever built, it was designed to house over 50,000 people, and had played host to gladiator games, plays and even public executions. Purchase skip-the-line tickets online to avoid long lines at the door, or join guided tours which allow for special access to restricted areas. While here, you might want to visit the adjacent Palatine Hill and Roman Forum as well."
6,Acropolis,Greece,4.5,"Sights & Landmarks, Historic Sites, Ancient Ruins","This ancient citadel, built in the fifth century B.C., towers over the city and is home to some of the most impressive ancient ruins, buildings, and artifacts. The most famous temple, the Parthenon, was dedicated to the goddess Athena and is considered the peak of Greek art. You can avoid long lines by joining a walking tour of the site. Make sure to wear comfortable shoes and bring sunscreen, as the walk up the hill can be steep and exposed to the sun. For the best experience, visit early in the morning or late in the afternoon to avoid the heat and for fewer crowds."
7,Eiffel Tower,France,4.5,"Sights & Landmarks, Observation Decks & Towers, Points of Interest & Landmarks","Completed in 1889, this colossal landmark, although initially hated by many Parisians, is now a famous symbol of French civic pride."
8,Taj Mahal,India,5.0,"Sights & Landmarks, Architectural Buildings, Points of Interest & Landmarks, Historic Sites","17th-century, Mughal-style, marble mausoleum with minarets, a mosque & famously symmetrical gardens."
9,Hagia Sophia Moschee,Turkiye,4.5,"Sights & Landmarks, Sacred & Religious Sites, Historic Sites, Architectural Buildings","This architectural marvel displays 30 million gold tiles throughout its interior, and a wide, flat dome which was a bold engineering feat at the time it was constructed in the 6th century."
10,Mutianyu Great Wall,China,5.0,"Sights & Landmarks, Points of Interest & Landmarks, Ancient Ruins, Nature & Parks, Hiking Trails, Outdoor Activities, Hiking Trails","In 1368 AD, Mutianyu Great Wall was built by Xu Da who is the main general for Zhuyuanzhang in the Great Wall ruins of Northern Qi Dynasty. Linked to Gubeikou in the east and Juyongguan in the west,the section of the Great Wall is the military hub defensing of the capitalsince ancient times. There are several famous watchtowers such as Zhengguantai, Dajiaolou, Yingfeidaoyang,Jiankou and Beijingjie, which has profound historical and cultural values. Surrounded by the mountains, the Greening rate of the Great Wall reaches 98%, and its scenery is beautiful. Known for its gorgeous scenery, Mutianyu is one of the essence in the Great Wall of Ming Dynasty. Mutianyuhas the characteristics of the fresh air, sided embrasure, peculiar guards, intensive watchtowers, the strong feeling of three-dimensional and the existing of the inside and outside branch. The Closed Tram, Speed slide, the China dream stone sity, the Great Wall hotel, Yisonglou restaurant are constructed inthe tourist area, so its facilities and function are perfect.The tourist area was added to the national 5A scenic spot list by the National Tourism Administration of China in 2011. In June 28, 2014,the Mutianyu Great Wallintegrated tourism service area put into use. The integrated tourism service area, having service functions including a visitor center, the Great Wall Culture Exhibition Center, and catering and tourism souvenirs street,covers an area of 20 acres.In this way, Mutianyu Great Wall will provide a better travel experience for visitors."
11,Grand Canyon,United States,5.0,"Nature & Parks, Canyons","The most developed area of Grand Canyon National Park, the South Rim offers amenities such as bus service, hotels and water stations, but is also more crowded than the North Rim. Scenic highlights include Pipe Creek Vista and Yavapai Point."
12,Santuario Historico de Machu Picchu,Peru,5.0,"Sights & Landmarks, Historic Sites, Ancient Ruins","Iconic hilltop ruins of a large 15th-century Inca city featuring numerous structures & terraces."
13,Statue of Liberty,United States,4.5,"Sights & Landmarks, Points of Interest & Landmarks, Monuments & Statues","The Statue of Liberty Enlightening the World was a gift of friendship from the people of France to the people of the United States and is a universal symbol of freedom and democracy. The Statue of Liberty was dedicated on October 28, 1886, designated as a National Monument in 1924 and restored for her centennial on July 4, 1986."
14,Sagrada Família,Spain,4.5,"Sights & Landmarks, Points of Interest & Landmarks, Churches & Cathedrals, Architectural Buildings","Basilica de la Sagrada Familia is a church devoted to the Holy Family. One of Antoni Gaudi's most famous works, the church is perhaps best known for still being under construction since 1882—with works funded purely by donations. Take a lift to the top of the towers for a panoramic view of the city and marvel at the ornate architecture. The nativity facade and crypt have also been awarded UNESCO World Heritage Status. Skip the line with a pre-booked tour with tower access, or combine your visit with another of Gaudi's work, Parc Guell."
15,Alhambra,Spain,4.5,"Sights & Landmarks, Historic Sites, Castles, Architectural Buildings","The second most visited site in Europe: this breathtaking palace-city is a sophisticated blend of medieval Islamic, Renaissance Christian and modern architectural styles.."
16,Christ the Redeemer,Brazil,4.5,"Sights & Landmarks, Monuments & Statues, Points of Interest & Landmarks","O Santuário Cristo Redentor, localizado no coração do Rio de Janeiro, é o primeiro santuário a céu aberto do mundo, um espaço sagrado que acolhe pessoas de todas as culturas, crenças e origens. Mais do que um monumento, é um símbolo de fé, esperança e acolhimento, convidando milhões de visitantes todos os anos para momentos de reflexão, espiritualidade e conexão com a natureza. Erguido no topo do Morro do Corcovado a 710 metros acima do nível do mar, o Cristo Redentor é uma das Sete Maravilhas do Mundo Moderno. Inaugurado em 1931, o monumento de 38 metros de altura foi projetado pelo engenheiro Heitor da Silva Costa e esculpido por Paul Landowski, com uma visão que uniu arte e espiritualidade em perfeita harmonia com a paisagem natural. Elevado ao status de Santuário Arquidiocesano em 2006, o Cristo Redentor desempenha um papel essencial não apenas como marco religioso, mas também como promotor de ações sociais e ambientais que refletem os valores do Evangelho e os ODS da ONU."
17,Sydney Opera House,Australia,4.5,"Sights & Landmarks, Architectural Buildings, Points of Interest & Landmarks, Concerts & Shows, Theaters","One of the most iconic buildings in the world – the Sydney Opera House is an architectural masterpiece and vibrant performance space. It's a place where the past shapes the future, where conventions are challenged and cultures are celebrated. Step inside and discover the stories that make the Opera House so inspiring. Whether you're a local or a tourist, a first-timer or an aficionado, the Sydney Opera House has something for everyone."
